"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "45-49 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Man" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "Age class - Total" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "5-9 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "45-49 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Diplomat, international civil servant with diplomatic immunity" "Woman" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "Age class - Total" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "5-9 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "45-49 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Sex - Total" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "Age class - Total" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "5-9 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "45-49 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Man" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "Age class - Total" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "5-9 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "45-49 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "International civil servant without diplomatic immunity" "Woman" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "Age class - Total" 4
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "5-9 years" 2
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "45-49 years" 2
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Sex - Total" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "Age class - Total" 2
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "5-9 years" 1
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "45-49 years" 1
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Man" "100 years or older" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "Age class - Total" 2
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "0-4 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "5-9 years" 1
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "10-14 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "15-19 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "20-24 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "25-29 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "30-34 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "35-39 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "40-44 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "45-49 years" 1
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "50-54 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "55-59 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "60-64 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "65-69 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "70-74 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "75-79 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "80-84 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "85-89 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "90-94 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "95-99 years" 0
"2016" "Neuchâtel" "Non permanent resident population" "Not attributable" "Woman" "100 years or older" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "Age class - Total" 56
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "0-4 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "5-9 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "10-14 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "15-19 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "20-24 years" 23
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "25-29 years" 11
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "30-34 years" 7
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "35-39 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "40-44 years" 2
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "45-49 years" 5
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "50-54 years" 3
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "55-59 years" 2
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "60-64 years" 2
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "65-69 years" 1
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "70-74 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "75-79 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "80-84 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "85-89 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "90-94 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "95-99 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Sex - Total" "100 years or older" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "Age class - Total" 26
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "0-4 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "5-9 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "10-14 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "15-19 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "20-24 years" 8
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "25-29 years" 3
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "30-34 years" 3
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "35-39 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "40-44 years" 1
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "45-49 years" 4
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "50-54 years" 2
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "55-59 years" 2
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "60-64 years" 2
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "65-69 years" 1
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "70-74 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "75-79 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "80-84 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "85-89 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "90-94 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "95-99 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Man" "100 years or older" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "Age class - Total" 30
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "0-4 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "5-9 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "10-14 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "15-19 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "20-24 years" 15
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "25-29 years" 8
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "30-34 years" 4
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "35-39 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "40-44 years" 1
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "45-49 years" 1
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "50-54 years" 1
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "55-59 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "60-64 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "65-69 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "70-74 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "75-79 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "80-84 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "85-89 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "90-94 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "95-99 years" 0
"2016" "Genève" "Non permanent resident population" "Residence permit - Total" "Woman" "100 years or older" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "Age class - Total" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "0-4 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "5-9 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "10-14 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "15-19 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "20-24 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "25-29 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "30-34 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "35-39 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "40-44 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "45-49 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "50-54 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "55-59 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "60-64 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "65-69 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "70-74 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "75-79 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "80-84 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "85-89 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "90-94 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "95-99 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Sex - Total" "100 years or older" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "Age class - Total" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "0-4 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "5-9 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "10-14 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "15-19 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "20-24 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "25-29 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "30-34 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "35-39 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "40-44 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "45-49 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "50-54 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "55-59 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "60-64 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "65-69 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "70-74 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "75-79 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "80-84 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "85-89 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "90-94 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "95-99 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Man" "100 years or older" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Woman" "Age class - Total" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Woman" "0-4 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Woman" "5-9 years" 0
"2016" "Genève" "Non permanent resident population" "Swiss" "Woman" "10-14 years" 0
